城市,日期,最高温,最低温,天气,风力风向,空气质量指数
北京,2020-03-31 周二,19°,7°,阴~多云,东北风2级,87 良
北京,2020-04-01 周三,16°,3°,阴~晴,东北风3级,45 优
北京,2020-04-02 周四,20°,7°,晴,西北风2级,39 优
北京,2020-04-03 周五,24°,9°,晴,西北风2级,42 优
北京,2020-04-04 周六,18°,4°,晴,东南风3级,99 良
北京,2020-04-05 周日,19°,6°,晴,西南风2级,67 良
北京,2020-04-06 周一,23°,9°,多云,东南风2级,85 良
北京,2020-04-07 周二,18°,5°,阴~晴,东南风2级,87 良
北京,2020-04-08 周三,15°,7°,多云~小雨,东南风2级,54 良
北京,2020-04-09 周四,12°,4°,阴~多云,西南风2级,53 良
北京,2020-04-10 周五,17°,6°,晴,西南风1级,58 良
北京,2020-04-11 周六,23°,10°,晴,西北风2级,46 优
北京,2020-04-12 周日,25°,6°,晴,东北风3级,45 优
北京,2020-04-13 周一,27°,10°,晴,西南风1级,57 良
北京,2020-04-14 周二,26°,11°,多云,西南风2级,94 良
北京,2020-04-15 周三,24°,11°,多云~中雨,东南风2级,94 良
北京,2020-04-16 周四,19°,11°,浮尘~多云,西北风3级,76 良
北京,2020-04-17 周五,21°,8°,晴,东北风3级,47 优
北京,2020-04-18 周六,22°,11°,阴,东南风2级,46 优
北京,2020-04-19 周日,21°,10°,多云,西南风3级,68 良
北京,2020-04-20 周一,15°,4°,晴,西北风4级,67 良
北京,2020-04-21 周二,13°,4°,晴,西北风4级,34 优
北京,2020-04-22 周三,16°,6°,晴,西北风4级,46 优
北京,2020-04-23 周四,19°,6°,晴,西北风3级,31 优
北京,2020-04-24 周五,29°,12°,浮尘~扬沙,西北风3级,84 良
北京,2020-04-25 周六,22°,9°,阴~晴,东北风3级,57 良
北京,2020-04-26 周日,22°,7°,阴~晴,东北风2级,37 优
北京,2020-04-27 周一,28°,11°,晴,南风2级,61 良
北京,2020-04-28 周二,27°,16°,晴,西南风2级,102 轻度
北京,2020-04-29 周三,28°,15°,晴,南风2级,118 轻度
北京,2020-04-30 周四,32°,17°,多云~晴,南风1级,143 轻度
北京,2020-05-01 周五,34°,21°,多云~晴,西南风2级,179 中度
北京,2020-05-02 周六,32°,17°,晴,南风3级,149 轻度
北京,2020-05-03 周日,25°,14°,阴~雷阵雨,东风2级,102 轻度
北京,2020-05-04 周一,17°,10°,阴~雾,南风3级,52 良
北京,2020-05-05 周二,22°,13°,晴,西南风2级,65 良
北京,2020-05-06 周三,25°,13°,多云~小雨,东南风2级,114 轻度
北京,2020-05-07 周四,19°,13°,阴~小雨,东南风2级,117 轻度
北京,2020-05-08 周五,15°,10°,小雨~阴,东风2级,58 良
